Month,IDEB,inflacao,corrupcao,bolsa_familia
2008-01,2,24,11,10
2008-02,3,23,16,8
2008-03,3,34,28,9
2008-04,3,40,22,8
2008-05,3,46,25,8
2008-06,34,59,29,11
2008-07,24,42,17,8
2008-08,19,40,29,8
2008-09,21,42,46,9
2008-10,10,37,46,6
2008-11,12,39,27,8
2008-12,6,23,16,6
2009-01,8,22,9,10
2009-02,13,24,16,7
2009-03,15,29,23,7
2009-04,8,31,18,8
2009-05,9,31,22,9
2009-06,7,33,21,8
2009-07,6,16,14,7
2009-08,7,20,22,9
2009-09,8,32,26,9
2009-10,8,29,23,9
2009-11,6,35,23,9
2009-12,5,25,24,5
2010-01,5,21,10,5
2010-02,6,19,15,6
2010-03,7,25,22,7
2010-04,8,29,23,7
2010-05,7,35,22,7
2010-06,7,32,19,6
2010-07,85,19,13,6
2010-08,20,25,23,7
2010-09,10,27,30,7
2010-10,10,31,31,11
2010-11,9,36,20,10
2010-12,6,25,14,7
2011-01,6,21,10,8
2011-02,8,23,13,7
2011-03,10,25,14,9
2011-04,7,31,14,7
2011-05,36,39,18,8
2011-06,14,32,18,7
2011-07,8,17,16,5
2011-08,10,20,28,5
2011-09,19,27,39,6
2011-10,9,25,38,7
2011-11,10,31,35,6
2011-12,5,20,21,6
2012-01,5,19,12,8
2012-02,7,16,14,7
2012-03,9,23,22,7
2012-04,8,22,32,7
2012-05,8,25,26,8
2012-06,10,21,22,9
2012-07,9,13,18,8
2012-08,87,19,31,8
2012-09,32,22,36,7
2012-10,15,20,33,8
2012-11,17,25,27,7
2012-12,9,17,18,9
2013-01,15,20,12,10
2013-02,11,20,15,8
2013-03,10,21,16,9
2013-04,11,30,21,9
2013-05,12,29,19,22
2013-06,8,38,61,13
2013-07,7,19,26,10
2013-08,8,22,22,9
2013-09,8,26,23,9
2013-10,8,27,21,11
2013-11,9,25,23,12
2013-12,4,18,17,11
2014-01,5,23,12,16
2014-02,6,23,20,14
2014-03,7,24,22,13
2014-04,9,28,21,13
2014-05,7,32,25,20
2014-06,6,23,23,18
2014-07,8,20,19,15
2014-08,11,27,33,16
2014-09,64,32,34,18
2014-10,14,72,68,49
2014-11,9,37,33,21
2014-12,7,21,26,17
2015-01,6,25,15,33
2015-02,7,29,34,22
2015-03,7,37,59,18
2015-04,7,32,35,17
2015-05,7,35,36,18
2015-06,7,37,39,24
2015-07,5,30,28,22
2015-08,7,30,51,24
2015-09,6,37,46,24
2015-10,6,34,46,27
2015-11,6,34,36,27
2015-12,4,27,32,25
2016-01,4,30,20,41
2016-02,4,26,29,27
2016-03,4,29,100,28
2016-04,5,32,58,27
2016-05,6,34,45,40
2016-06,6,31,38,30
2016-07,6,19,23,35
2016-08,6,23,30,30
2016-09,51,30,39,42
2016-10,10,34,38,39
2016-11,8,34,51,77
2016-12,5,28,41,34